,State,Year,Quarter,District,Registered_users,Region
97,Andhra Pradesh,2020,2,West Godavari,944829,Southern Region
98,Andhra Pradesh,2020,2,Spsr Nellore,854459,Southern Region
99,Andhra Pradesh,2020,2,Prakasam,830709,Southern Region
100,Andhra Pradesh,2020,3,Visakhapatnam,2058346,Southern Region
101,Andhra Pradesh,2020,3,East Godavari,1601940,Southern Region
102,Andhra Pradesh,2020,3,Krishna,1599289,Southern Region
103,Andhra Pradesh,2020,3,Guntur,1567595,Southern Region
104,Andhra Pradesh,2020,3,Chittoor,1506503,Southern Region
105,Andhra Pradesh,2020,3,Anantapur,1186851,Southern Region
106,Andhra Pradesh,2020,3,Kurnool,1132240,Southern Region
107,Andhra Pradesh,2020,3,West Godavari,1053674,Southern Region
108,Andhra Pradesh,2020,3,Spsr Nellore,937176,Southern Region
109,Andhra Pradesh,2020,3,Prakasam,915240,Southern Region
110,Andhra Pradesh,2020,4,Visakhapatnam,2209658,Southern Region
111,Andhra Pradesh,2020,4,East Godavari,1746280,Southern Region
112,Andhra Pradesh,2020,4,Krishna,1744028,Southern Region
113,Andhra Pradesh,2020,4,Guntur,1712940,Southern Region
114,Andhra Pradesh,2020,4,Chittoor,1631331,Southern Region
115,Andhra Pradesh,2020,4,Anantapur,1295872,Southern Region
116,Andhra Pradesh,2020,4,Kurnool,1230466,Southern Region
117,Andhra Pradesh,2020,4,West Godavari,1163179,Southern Region
118,Andhra Pradesh,2020,4,Spsr Nellore,1022944,Southern Region
119,Andhra Pradesh,2020,4,Prakasam,999462,Southern Region
120,Andhra Pradesh,2021,1,Visakhapatnam,2368081,Southern Region
121,Andhra Pradesh,2021,1,East Godavari,1878769,Southern Region
122,Andhra Pradesh,2021,1,Krishna,1876458,Southern Region
123,Andhra Pradesh,2021,1,Guntur,1843237,Southern Region
124,Andhra Pradesh,2021,1,Chittoor,1751420,Southern Region
125,Andhra Pradesh,2021,1,Anantapur,1394849,Southern Region
126,Andhra Pradesh,2021,1,Kurnool,1323411,Southern Region
127,Andhra Pradesh,2021,1,West Godavari,1254117,Southern Region
128,Andhra Pradesh,2021,1,Spsr Nellore,1100541,Southern Region
129,Andhra Pradesh,2021,1,Prakasam,1075936,Southern Region
130,Andhra Pradesh,2021,2,Visakhapatnam,2526830,Southern Region
131,Andhra Pradesh,2021,2,East Godavari,2006272,Southern Region
132,Andhra Pradesh,2021,2,Krishna,2002662,Southern Region
133,Andhra Pradesh,2021,2,Guntur,1968681,Southern Region
134,Andhra Pradesh,2021,2,Chittoor,1870723,Southern Region
135,Andhra Pradesh,2021,2,Anantapur,1492738,Southern Region
136,Andhra Pradesh,2021,2,Kurnool,1415585,Southern Region
137,Andhra Pradesh,2021,2,West Godavari,1339377,Southern Region
138,Andhra Pradesh,2021,2,Spsr Nellore,1176334,Southern Region
139,Andhra Pradesh,2021,2,Prakasam,1151232,Southern Region
140,Andhra Pradesh,2021,3,Visakhapatnam,2707931,Southern Region
141,Andhra Pradesh,2021,3,East Godavari,2150622,Southern Region
142,Andhra Pradesh,2021,3,Krishna,2145423,Southern Region
143,Andhra Pradesh,2021,3,Guntur,2110878,Southern Region
144,Andhra Pradesh,2021,3,Chittoor,2007011,Southern Region
145,Andhra Pradesh,2021,3,Anantapur,1606735,Southern Region
146,Andhra Pradesh,2021,3,Kurnool,1522196,Southern Region
147,Andhra Pradesh,2021,3,West Godavari,1436576,Southern Region
148,Andhra Pradesh,2021,3,Spsr Nellore,1263550,Southern Region
149,Andhra Pradesh,2021,3,Prakasam,1239147,Southern Region
150,Andhra Pradesh,2021,4,Visakhapatnam,2888774,Southern Region
151,Andhra Pradesh,2021,4,East Godavari,2294347,Southern Region
152,Andhra Pradesh,2021,4,Krishna,2288148,Southern Region
153,Andhra Pradesh,2021,4,Guntur,2252443,Southern Region
154,Andhra Pradesh,2021,4,Chittoor,2141818,Southern Region
155,Andhra Pradesh,2021,4,Anantapur,1719437,Southern Region
156,Andhra Pradesh,2021,4,Kurnool,1628242,Southern Region
157,Andhra Pradesh,2021,4,West Godavari,1532898,Southern Region
158,Andhra Pradesh,2021,4,Spsr Nellore,1349290,Southern Region
159,Andhra Pradesh,2021,4,Prakasam,1325728,Southern Region
160,Andhra Pradesh,2022,1,Visakhapatnam,3061324,Southern Region
161,Andhra Pradesh,2022,1,East Godavari,2432305,Southern Region
162,Andhra Pradesh,2022,1,Krishna,2423373,Southern Region
163,Andhra Pradesh,2022,1,Guntur,2387051,Southern Region
164,Andhra Pradesh,2022,1,Chittoor,2270705,Southern Region
165,Andhra Pradesh,2022,1,Anantapur,1827094,Southern Region
166,Andhra Pradesh,2022,1,Kurnool,1729513,Southern Region
167,Andhra Pradesh,2022,1,West Godavari,1626039,Southern Region
