State,Year,Quarter,Registered_users,App_opens,Region
Andhra_Pradesh,2018,4,394962,0,Southern Region
Andhra_Pradesh,2018,4,510892,0,Southern Region
Andhra_Pradesh,2018,4,498582,0,Southern Region
Andhra_Pradesh,2018,4,659552,0,Southern Region
Andhra_Pradesh,2018,4,682479,0,Southern Region
Andhra_Pradesh,2018,4,407495,0,Southern Region
Andhra_Pradesh,2018,4,257824,0,Southern Region
Andhra_Pradesh,2018,4,387058,0,Southern Region
Andhra_Pradesh,2018,4,435668,0,Southern Region
Andhra_Pradesh,2018,4,665280,0,Southern Region
Andhra_Pradesh,2019,1,839277,0,Southern Region
Andhra_Pradesh,2019,1,345775,0,Southern Region
Andhra_Pradesh,2019,1,1174517,0,Southern Region
Andhra_Pradesh,2019,1,474260,0,Southern Region
Andhra_Pradesh,2019,1,612162,0,Southern Region
Andhra_Pradesh,2019,1,599422,0,Southern Region
Andhra_Pradesh,2019,1,802394,0,Southern Region
Andhra_Pradesh,2019,1,833694,0,Southern Region
Andhra_Pradesh,2019,1,491908,0,Southern Region
Andhra_Pradesh,2019,1,313334,0,Southern Region
Andhra_Pradesh,2019,1,460590,0,Southern Region
Andhra_Pradesh,2019,1,523372,0,Southern Region
Andhra_Pradesh,2019,1,812314,0,Southern Region
Andhra_Pradesh,2019,2,945181,7156762,Southern Region
Andhra_Pradesh,2019,2,392764,3230330,Southern Region
Andhra_Pradesh,2019,2,1318740,13681907,Southern Region
Andhra_Pradesh,2019,2,539462,4488365,Southern Region
Andhra_Pradesh,2019,2,695114,6056591,Southern Region
Andhra_Pradesh,2019,2,680118,6240480,Southern Region
Andhra_Pradesh,2019,2,915256,7268875,Southern Region
Andhra_Pradesh,2019,2,952300,7822632,Southern Region
Andhra_Pradesh,2019,2,558303,4774473,Southern Region
Andhra_Pradesh,2019,2,355058,3541678,Southern Region
Andhra_Pradesh,2019,2,519031,4345848,Southern Region
Andhra_Pradesh,2019,2,592185,3853094,Southern Region
Andhra_Pradesh,2019,2,925491,8914216,Southern Region
Andhra_Pradesh,2019,3,1057167,28275322,Southern Region
Andhra_Pradesh,2019,3,437939,11813195,Southern Region
Andhra_Pradesh,2019,3,1460464,54836001,Southern Region
Andhra_Pradesh,2019,3,598568,16267041,Southern Region
Andhra_Pradesh,2019,3,773656,22845084,Southern Region
Andhra_Pradesh,2019,3,755024,22827473,Southern Region
Andhra_Pradesh,2019,3,1026418,28477132,Southern Region
